"","EarDiameter_NY","EarLength_NY","EarRankNumber_NY","EarRowNumber_NY","EarWeight_NY","GDDAnthesisSilkingInterval_NY","GDDDaystoSilk_NY","GDDDaystoTassel_NY","GerminationCount_NY","LeafLength_NY","LeafWidth_NY","MainSpikeLength_NY","MiddleLeafAngle_NY","NIROil_NY","NIRProtein_NY","NIRStarch_NY","NorthernLeafBlightPercentage_NY","NumberofTilleringPlants_NY","PlantHeight_NY","SecondaryBranchNumber_NY","SeedSetLength_NY","StandCount_NY","TasselBranchLength_NY","TasselLength_NY","TasselPrimaryBranches_NY","TilleringIndex_NY","UpperLeafAngle_NY","X20KernelWeight_NY"
"Z005E0042",40.184605154426,160.431137391445,NA,14.2307276745695,121.412757547564,6.07419574262437,887.627293028509,881.72944783576,0.940776127337048,776.303278488101,110.258457307065,315.495229530357,64.2036014082141,4.30078068550917,13.325078741422,67.440252388548,NA,0.86473649885544,191.615700738489,0.818576374175771,161.852998444013,10.8580142642635,272.712491631153,400.891762504946,7.3746963932817,NA,74.7583708022721,4.78385974413267
"Z005E0043",44.0415955819674,124.579005734386,NA,17.9576744948914,102.233083803043,13.47111,924.0672225,910.5936125,5.94077612733705,859.5,89.5,294.5,65,4.36078068550917,15.655078741422,66.0402523885481,NA,0.86473649885544,145,0.818576374175771,117.489223514779,13.8580142642635,268.712491631153,357,5.5,NA,67.5,3.93333333333333
"Z005E0044",44.8985860095089,131.726874077326,NA,17.6846213152132,100.053410058522,20.5164207426244,819.574513028509,799.22944783576,2.94077612733705,751.303278488101,92.258457307065,266.5,70,4.29078068550917,13.225078741422,68.6402523885481,NA,0.86473649885544,155,-0.181423625824229,116.125448585544,12.8580142642635,167.712491631153,343,4,NA,50,4.3417621608067
"Z005E0045",37.8007069952455,104.636562961337,17.0415299227703,13.6576893423934,51.7232949707388,15.136945,962.9566675,947.8172225,4,877.5,82,265.5,75,4.095,13.53,67.005,2.39313725456373,0.86473649885544,160,1.81857637417577,94.1872757072279,13.8580142642635,220.712491631153,348.5,6.5,NA,75,4.35411891959665
"Z005E0046",47.407697422787,138.451097954277,38.0415299227703,16.7179694977153,125.293621226218,27.22111,930.4566675,903.2330575,2.94077612733705,798.5,88.5,266.495229530357,75,4.41078068550918,13.785078741422,64.6802523885481,NA,0.86473649885544,182.5,1.81857637417577,135.406834127993,7.85801426426351,184.712491631153,328.891762504946,6.3746963932817,NA,80,3.92473679443367
"Z005E0047",42.8333333333333,148.166666666667,17.5415299227703,15.6666666666667,90.8333333333333,14.6847507426244,859.853403028509,845.340002835761,4.44077612733705,829,83.5,345,75,4.21078068550917,11.565078741422,71.6302523885481,NA,0.86473649885544,171.615700738489,-0.181423625824229,140.5,11.8580142642635,272.712491631153,392,3.5,NA,80,3.51666666666667
"Z005E0048",46.3985860095089,154.226874077326,NA,16.6846213152132,160.053410058522,NA,NA,904.04444216424,8.94077612733705,785,96,282,77.5,NA,NA,NA,NA,0.86473649885544,145,1.81857637417577,151.125448585544,13.8580142642635,258.712491631153,360,8.5,NA,75.2416291977279,4.6417621608067
"Z005E0049",37.2915955819674,123.829005734386,NA,14.4576744948914,61.4830838030432,2.46364074262437,1036.51673802851,1034.22944783576,9.94077612733705,745,102,218,70.7963985917859,NA,NA,NA,NA,0.86473649885544,212.5,2.81857637417577,106.989223514779,12.8580142642635,243.712491631153,337,11,NA,60.2416291977279,3.81281095246968
"Z005E0050",35.8985860095089,142.226874077326,NA,11.6846213152132,53.0534100585223,11.386945,951.8436125,940.4566675,7.94077612733705,797,64,239.5,72.5,4.475,14.025,66.04,NA,0.86473649885544,167.5,-0.181423625824229,105.625448585544,13.8580142642635,232.712491631153,312.5,4.75,NA,70.2416291977279,3.4917621608067
"Z005E0051",40.407697422787,118.784431304277,24.0415299227703,12.8846361627153,46.793621226218,-3.64691425737563,1036.51673802851,1040.34000283576,3.44077612733705,817.5,73,219.5,65,NA,NA,NA,NA,0.86473649885544,168.384299261511,-0.181423625824229,103.573500777993,7.85801426426351,224.712491631153,269,8,NA,65.2416291977279,3.30807012793367
"Z005E0052",39.6666666666667,138,25.0415299227703,13.6666666666667,87,31.47111,917.538335,886.0672225,7,839,84.5,319.495229530357,72.5,NA,NA,NA,9.05980392156373,0.86473649885544,135,-0.181423625824229,126.333333333333,12.8580142642635,223.712491631153,377.891762504946,6.3746963932817,NA,77.5,4.2
"Z005E0053",37.1666666666667,114.833333333333,NA,17,53,NA,NA,1045.34000283576,6.44077612733705,796.5,84.5,261,60,NA,NA,NA,NA,0.86473649885544,141.615700738489,0.818576374175771,105.166666666667,8.85801426426351,226.712491631153,317,4.5,NA,80.2416291977279,2.38333333333333
"Z005E0054",42.6666666666667,120.833333333333,20.0415299227703,14.3846361627153,85.6666666666666,17.360555,947.8172225,930.4566675,2.94077612733705,844.303278488101,92.258457307065,286,67.5,4.59078068550918,14.095078741422,67.9402523885481,NA,0.86473649885544,135,1.81857637417577,108.166666666667,8.85801426426351,259.712491631153,354.5,5,NA,72.5,5.13333333333333
"Z005E0055",42.657697422787,109.784431304277,28.0415299227703,14.8846361627153,88.543621226218,16.8725,903.2330575,886.360555,6.33333333333333,769.5,109.5,274,70,4.645,12.615,69.07,NA,0.86473649885544,160,1.81857637417577,103.573500777993,13.8580142642635,210.712491631153,356.5,4.5,NA,82.5,4.93307012793367
