Taxon,Location,Year,EarWeight,DaysToSilk
Z005E0069,NY,2006,46,964.80278
Z005E0069,NY,2007,45,904.163335
Z005E0070,NY,2006,43,NA
Z005E0070,NY,2007,47,904.163335
Z005E0071,NY,2006,40,NA
Z005E0071,NY,2007,NA,1000.27389
Z005E0072,NY,2006,NA,964.80278
Z005E0072,NY,2007,NA,949.163335
Z005E0073,NY,2006,NA,NA
Z005E0073,NY,2007,52,904.163335
Z005E0074,NY,2006,49,964.80278
Z005E0074,NY,2007,86,904.163335
Z005E0075,NY,2006,NA,913.634445
Z005E0075,NY,2007,NA,949.163335
Z005E0076,NY,2006,38,964.80278
Z005E0076,NY,2007,NA,1005.27389
Z005E0077,NY,2006,34,NA
Z005E0077,NY,2007,17,961.110555
Z005E0078,NY,2006,NA,NA
Z005E0078,NY,2007,NA,1005.27389
Z005E0079,NY,2006,119,924.110555
Z005E0079,NY,2007,79,805.27389
Z005E0080,NY,2006,98,964.80278
Z005E0080,NY,2007,150,841.663335
Z005E0081,NY,2006,128,832.163335
Z005E0081,NY,2007,NA,841.663335
Z005E0082,NY,2006,70,964.80278
Z005E0082,NY,2007,NA,904.163335
Z005E0083,NY,2006,52,964.80278
Z005E0083,NY,2007,75,870.27389
Z005E0084,NY,2006,80,944.110555
Z005E0084,NY,2007,75,883.331665
Z005E0085,NY,2006,51,924.110555
Z005E0085,NY,2007,NA,930.831665
Z005E0086,NY,2006,106,913.634445
Z005E0086,NY,2007,NA,856.384445
Z005E0087,NY,2006,100,944.110555
Z005E0087,NY,2007,NA,841.663335
Z005E0088,NY,2006,93,936.94222
Z005E0088,NY,2007,NA,904.163335
Z005E0089,NY,2006,30,NA
Z005E0089,NY,2007,NA,NA
Z005E0090,NY,2006,NA,954.02389
Z005E0090,NY,2007,NA,883.331665
Z005E0091,NY,2006,NA,NA
Z005E0091,NY,2007,62,870.27389
Z005E0092,NY,2006,46,964.80278
Z005E0092,NY,2007,53,1005.27389
Z005E0093,NY,2006,65,964.80278
Z005E0093,NY,2007,38,870.27389
Z005E0094,NY,2006,109,913.634445
Z005E0094,NY,2007,NA,841.663335
Z005E0095,NY,2006,54,NA
Z005E0095,NY,2007,99.5,883.331665
Z005E0096,NY,2006,43,964.80278
Z005E0096,NY,2007,NA,841.663335
Z005E0097,NY,2006,158,964.80278
Z005E0097,NY,2007,66,938.884445
Z005E0098,NY,2006,NA,NA
Z005E0098,NY,2007,NA,NA
Z005E0099,NY,2006,NA,936.94222
Z005E0099,NY,2007,NA,828.610555
Z005E0100,NY,2006,80,896.413335
Z005E0100,NY,2007,NA,883.331665
Z005E0101,NY,2006,69.5,NA
Z005E0101,NY,2007,NA,NA
Z005E0102,NY,2006,93,913.634445
Z005E0102,NY,2007,90,841.663335
Z005E0103,NY,2006,58,NA
Z005E0103,NY,2007,105,1005.27389
Z005E0104,NY,2006,37,964.80278
Z005E0104,NY,2007,NA,870.27389
Z005E0105,NY,2006,47,NA
Z005E0105,NY,2007,NA,856.384445
Z005E0106,NY,2006,27,964.80278
Z005E0106,NY,2007,NA,938.884445
Z005E0107,NY,2006,NA,NA
Z005E0107,NY,2007,105,870.27389
Z005E0108,NY,2006,92,964.80278
Z005E0108,NY,2007,116,870.27389
Z005E0109,NY,2006,93,936.94222
Z005E0109,NY,2007,NA,883.331665
Z005E0110,NY,2006,68,NA
Z005E0110,NY,2007,NA,856.384445
Z005E0111,NY,2006,71,913.634445
Z005E0111,NY,2007,NA,818.610555
Z005E0112,NY,2006,88.5,881.610555
Z005E0112,NY,2007,NA,841.663335
Z005E0113,NY,2006,71,924.110555
Z005E0113,NY,2007,NA,856.384445
Z005E0114,NY,2006,53,NA
Z005E0114,NY,2007,59,870.27389
Z005E0115,NY,2006,51,964.80278
Z005E0115,NY,2007,NA,949.163335
Z005E0116,NY,2006,74,964.80278
Z005E0116,NY,2007,64,870.27389
Z005E0117,NY,2006,58,964.80278
Z005E0117,NY,2007,NA,870.27389
Z005E0118,NY,2006,57,964.80278
Z005E0118,NY,2007,NA,930.831665
Z005E0119,NY,2006,70,964.80278
Z005E0119,NY,2007,105.5,841.663335
Z005E0120,NY,2006,NA,NA
Z005E0120,NY,2007,48,NA
Z005E0121,NY,2006,85,936.94222
Z005E0121,NY,2007,103,841.663335
Z005E0122,NY,2006,70,944.110555
Z005E0122,NY,2007,NA,841.663335
Z005E0123,NY,2006,62,944.110555
Z005E0123,NY,2007,99,805.27389
Z005E0124,NY,2006,39,964.80278
Z005E0124,NY,2007,NA,NA
Z005E0125,NY,2006,57,NA
Z005E0125,NY,2007,NA,916.110555
Z005E0126,NY,2006,136,964.80278
Z005E0126,NY,2007,83,916.110555
Z005E0127,NY,2006,65,964.80278
Z005E0127,NY,2007,NA,841.663335
Z005E0128,NY,2006,NA,NA
Z005E0128,NY,2007,63,994.163335
Z005E0129,NY,2006,43,964.80278
Z005E0129,NY,2007,97,916.110555
Z005E0130,NY,2006,71,904.77389
Z005E0130,NY,2007,85,805.27389
Z005E0131,NY,2006,NA,NA
Z005E0131,NY,2007,NA,NA
Z005E0132,NY,2006,158,913.634445
Z005E0132,NY,2007,NA,870.27389
Z005E0133,NY,2006,138,964.80278
Z005E0133,NY,2007,NA,896.110555
Z005E0134,NY,2006,126,964.80278
Z005E0134,NY,2007,217,870.27389
Z005E0135,NY,2006,58,964.80278
Z005E0135,NY,2007,40,1000.27389
Z005E0136,NY,2006,83,964.80278
Z005E0136,NY,2007,NA,856.384445
Z005E0137,NY,2006,71,964.80278
Z005E0137,NY,2007,NA,961.110555
